p356_p246 p245 p146 p145 p124 e2y
p346_p245 p235 p145 p135 p125 e2y
p256_p146 p145 p136 p135 p134 e2y
p246_p356 p235 p145 p136 p135 p134 p125 e2x e2y
p245_p356 p346 p136 p135 p134 e2x
p236_p145 p135 p134 p125 p124 e2x
p235_p346 p246 p146 p134 p124 e2x
p146_p356 p256 p235 p135 p125 e2x
p145_p356 p346 p256 p246 p236 e2x
p136_p256 p246 p245 p125 p124 e2x
p135_p346 p256 p246 p245 p236 p146 p124 e2x e2y
p134_p256 p246 p245 p236 p235 e2y
p125_p346 p246 p236 p146 p136 e2y
p124_p356 p236 p235 p136 p135 e2y
e2x_p246 p245 p236 p235 p146 p145 p136 p135 e2y
e2y_p356 p346 p256 p246 p135 p134 p125 p124 e2x
